site,far_end_fiber_site,hop_km,radio_configuration,capacity,dish_m,antenna_gain_dBi,free_space_loss_dB,RSL_dBm,fade_margin_dB,rain_attenuation_0.01pct_dB,availability_99.99,terrain_line_of_sight,clearance_m_vs_0.6F1
RUR-R-0320,AJL-SU-0044,6.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,133.4,-30.4,31.6,9.9,OK,BLOCKED by 186 m: raise antennas or relay,-186
RUR-R-0321,JER-SU-0084,4.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.0,-28.0,34.0,7.9,OK,LOS,22
RUR-R-0322,JER-SU-0093,3.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.2,-26.2,35.8,6.6,OK,LOS,3
RUR-R-0323,JER-SU-0093,8.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.0,-26.0,34.0,12.5,OK,BLOCKED by 24 m: raise antennas or relay,-24
RUR-R-0324,RUR-R-0340,11.4,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.7,-28.7,31.3,15.7,OK,LOS,4
RUR-R-0325,RUR-R-0340,7.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.2,-25.2,34.8,11.6,OK,BLOCKED by 0 m: raise antennas or relay,0
RUR-R-0326,RUR-R-0340,3.9,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.3,-26.4,35.6,6.7,OK,LOS,13
RUR-R-0327,RUR-R-0311,4.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.1,-27.1,34.9,7.2,OK,LOS,23
RUR-R-0328,MAF-SU-0128,6.6,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,133.9,-30.9,31.1,10.4,OK,LOS,27
RUR-R-0329,RUR-R-0354,7.8,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.4,-25.4,34.6,11.9,OK,LOS,31
RUR-R-0330,RUR-R-0355,8.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.7,-25.7,34.3,12.2,OK,LOS,39
RUR-R-0331,RUR-R-0356,7.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.8,-24.8,35.2,11.3,OK,LOS,26
RUR-R-0333,RUR-R-0332,3.9,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.5,-26.5,35.5,6.8,OK,LOS,1
RUR-R-0334,AJL-SU-0045,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.7,-26.7,35.3,7.0,OK,LOS,29
RUR-R-0335,AJL-SU-0055,3.9,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.3,-26.4,35.6,6.7,OK,BLOCKED by 16 m: raise antennas or relay,-16
RUR-R-0336,JER-SU-0093,6.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,133.5,-30.5,31.5,10.0,OK,BLOCKED by 81 m: raise antennas or relay,-81
RUR-R-0337,JER-SU-0093,10.0,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.6,-27.6,32.4,14.3,OK,BLOCKED by 42 m: raise antennas or relay,-42
RUR-R-0338,RUR-R-0340,8.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.3,-26.3,33.7,12.8,OK,LOS,6
RUR-R-0339,RUR-R-0340,4.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.0,-27.0,35.0,7.2,OK,LOS,15
RUR-R-0341,RUR-R-0354,4.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.1,-27.1,34.9,7.2,OK,LOS,36
RUR-R-0342,RUR-R-0354,4.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.1,-28.2,33.8,8.0,OK,LOS,39
RUR-R-0343,RUR-R-0356,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,LOS,34
RUR-R-0345,RUR-R-0344,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.5,-27.5,34.5,7.5,OK,BLOCKED by 13 m: raise antennas or relay,-13
RUR-R-0346,AJL-SU-0062,4.6,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.8,-27.8,34.2,7.7,OK,LOS,25
RUR-R-0348,JER-SU-0113,3.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,127.7,-24.7,37.3,5.7,OK,LOS,33
RUR-R-0349,JER-SU-0117,2.9,"E-band 80 GHz 1+0, 2 GHz channel",10 Gbps,0.6,51.4,139.6,-22.8,35.2,26.1,OK,LOS,33
RUR-R-0350,JER-SU-0105,4.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.2,-28.2,33.8,8.0,OK,BLOCKED by 129 m: raise antennas or relay,-129
RUR-R-0351,JER-SU-0105,9.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.8,-26.8,33.2,13.4,OK,BLOCKED by 111 m: raise antennas or relay,-111
RUR-R-0352,MAF-SU-0149,9.9,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.4,-27.5,32.5,14.1,OK,BLOCKED by 5 m: raise antennas or relay,-5
RUR-R-0353,MAF-SU-0149,5.9,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,132.9,-30.0,32.0,9.5,OK,LOS,32
RUR-R-0358,RUR-R-0357,4.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.0,-28.0,34.0,7.9,OK,BLOCKED by 46 m: raise antennas or relay,-46
RUR-R-0359,AJL-SU-0065,3.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,127.3,-24.3,37.7,5.5,OK,BLOCKED by 61 m: raise antennas or relay,-61
RUR-R-0360,AJL-SU-0077,2.9,"E-band 80 GHz 1+0, 2 GHz channel",10 Gbps,0.6,51.4,139.9,-23.1,34.9,26.9,OK,BLOCKED by 34 m: raise antennas or relay,-34
