site,far_end_fiber_site,hop_km,radio_configuration,capacity,dish_m,antenna_gain_dBi,free_space_loss_dB,RSL_dBm,fade_margin_dB,rain_attenuation_0.01pct_dB,availability_99.99,terrain_line_of_sight,clearance_m_vs_0.6F1
RUR-R-0002,RUR-R-0001,4.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.1,-27.2,34.8,7.3,OK,LOS,31
RUR-R-0003,RUR-R-0005,7.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.3,-25.3,34.7,11.8,OK,LOS,10
RUR-R-0004,RUR-R-0008,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.6,-26.6,35.4,6.9,OK,LOS,26
RUR-R-0006,RUR-R-0005,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.7,-27.7,34.3,7.7,OK,LOS,39
RUR-R-0007,RUR-R-0008,4.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.1,-27.2,34.8,7.3,OK,LOS,41
RUR-R-0010,RUR-R-0011,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.6,-26.6,35.4,6.9,OK,BLOCKED by 4 m: raise antennas or relay,-4
RUR-R-0013,RUR-R-0008,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.5,-27.5,34.5,7.5,OK,LOS,24
RUR-R-0015,RUR-R-0011,4.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.0,-27.0,35.0,7.2,OK,LOS,32
RUR-R-0016,RUR-R-0012,4.6,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.8,-27.9,34.1,7.8,OK,LOS,40
RUR-R-0017,RUR-R-0012,8.0,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.6,-25.6,34.4,12.1,OK,LOS,0
RUR-R-0018,RUR-R-0014,4.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.2,-27.2,34.8,7.3,OK,LOS,9
RUR-R-0019,RUR-R-0012,7.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.1,-25.1,34.9,11.6,OK,LOS,48
RUR-R-0020,RUR-R-0012,9.4,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.0,-27.0,33.0,13.6,OK,LOS,43
RUR-R-0021,HWY-HW-0012,12.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,139.5,-29.6,30.4,16.7,OK,LOS,48
RUR-R-0022,TAF-SU-0065,3.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.2,-26.2,35.8,6.6,OK,LOS,20
RUR-R-0023,TAF-SU-0065,7.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.2,-25.2,34.8,11.6,OK,LOS,3
RUR-R-0024,RUR-R-0035,11.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.5,-28.5,31.5,15.4,OK,BLOCKED by 68 m: raise antennas or relay,-68
RUR-R-0025,RUR-R-0012,13.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,140.2,-30.3,29.7,17.6,OK,BLOCKED by 102 m: raise antennas or relay,-102
RUR-R-0026,HWY-HW-0011,12.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,139.6,-29.7,30.3,16.9,OK,LOS,4
RUR-R-0027,RUR-R-0028,3.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,128.3,-25.3,36.7,6.0,OK,BLOCKED by 146 m: raise antennas or relay,-146
RUR-R-0029,RUR-R-0035,4.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.8,-26.8,35.2,7.0,OK,LOS,44
RUR-R-0030,RUR-R-0035,7.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.8,-24.8,35.2,11.3,OK,LOS,76
RUR-R-0031,RUR-R-0035,11.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.6,-28.6,31.4,15.5,OK,LOS,23
RUR-R-0032,HWY-HW-0011,15.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,141.1,-31.2,28.8,18.8,OK,LOS,2
RUR-R-0033,HWY-HW-0010,10.9,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.3,-28.3,31.7,15.2,OK,LOS,10
RUR-R-0034,RUR-R-0028,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,BLOCKED by 34 m: raise antennas or relay,-34
RUR-R-0036,RUR-R-0035,3.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,128.9,-26.0,36.0,6.4,OK,BLOCKED by 8 m: raise antennas or relay,-8
RUR-R-0037,RUR-R-0035,8.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.8,-25.9,34.1,12.3,OK,LOS,34
RUR-R-0038,RUR-R-0035,13.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,140.2,-30.2,29.8,17.6,OK,LOS,83
RUR-R-0039,HWY-HW-0010,13.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,140.2,-30.2,29.8,17.6,OK,BLOCKED by 2 m: raise antennas or relay,-2
RUR-R-0040,HWY-HW-0010,9.9,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.4,-27.5,32.5,14.1,OK,LOS,28
RUR-R-0041,RUR-R-0035,8.0,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.7,-25.7,34.3,12.2,OK,BLOCKED by 78 m: raise antennas or relay,-78
RUR-R-0042,RUR-R-0035,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.4,-27.4,34.6,7.4,OK,BLOCKED by 5 m: raise antennas or relay,-5
RUR-R-0043,RUR-R-0035,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,LOS,43
RUR-R-0044,RUR-R-0035,7.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.2,-25.2,34.8,11.7,OK,LOS,67
RUR-R-0045,MUT-SU-0003,10.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.0,-28.0,32.0,14.8,OK,LOS,5
RUR-R-0046,MUT-SU-0003,14.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,140.7,-30.7,29.3,18.2,OK,LOS,10
RUR-R-0047,HWY-HW-0009,12.8,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,139.7,-29.7,30.3,17.0,OK,LOS,43
RUR-R-0048,RUR-R-0049,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.7,34.3,7.6,OK,BLOCKED by 83 m: raise antennas or relay,-83
RUR-R-0050,RUR-R-0049,4.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.1,-27.1,34.9,7.2,OK,BLOCKED by 8 m: raise antennas or relay,-8
RUR-R-0051,MUT-SU-0003,6.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,133.1,-30.1,31.9,9.7,OK,LOS,11
RUR-R-0052,MUT-SU-0003,9.4,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.0,-27.0,33.0,13.6,OK,LOS,6
RUR-R-0053,MUT-SU-0019,13.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,139.9,-30.0,30.0,17.2,OK,BLOCKED by 18 m: raise antennas or relay,-18
RUR-R-0054,HWY-HW-0009,10.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.7,-27.7,32.3,14.5,OK,LOS,6
RUR-R-0055,RUR-R-0049,3.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,128.8,-25.9,36.1,6.4,OK,BLOCKED by 24 m: raise antennas or relay,-24
RUR-R-0056,MUT-SU-0019,6.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,133.6,-30.6,31.4,10.1,OK,LOS,12
RUR-R-0057,MUT-SU-0019,9.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.1,-27.2,32.8,13.8,OK,BLOCKED by 20 m: raise antennas or relay,-20
RUR-R-0058,HWY-HW-0008,13.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,140.3,-30.3,29.7,17.7,OK,BLOCKED by 74 m: raise antennas or relay,-74
RUR-R-0059,MUT-SU-0025,7.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.6,-24.6,35.4,11.1,OK,BLOCKED by 307 m: raise antennas or relay,-307
RUR-R-0060,MUT-SU-0025,2.6,"E-band 80 GHz 1+0, 2 GHz channel",10 Gbps,0.6,51.4,138.9,-22.0,36.0,24.2,OK,LOS,27
RUR-R-0061,MUT-SU-0019,3.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,127.2,-24.2,37.8,5.4,OK,LOS,23
RUR-R-0062,MUT-SU-0019,8.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.7,-25.7,34.3,12.2,OK,LOS,18
RUR-R-0063,RUR-R-0078,11.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.8,-28.8,31.2,15.7,OK,LOS,2
RUR-R-0064,HWY-HW-0008,12.0,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,139.1,-29.1,30.9,16.2,OK,BLOCKED by 7 m: raise antennas or relay,-7
RUR-R-0065,MUT-SU-0030,6.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,133.1,-30.1,31.9,9.6,OK,BLOCKED by 152 m: raise antennas or relay,-152
RUR-R-0066,KAR-SU-0062,3.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,127.6,-24.6,37.4,5.6,OK,LOS,29
RUR-R-0067,MUT-SU-0036,3.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,127.7,-24.7,37.3,5.7,OK,LOS,25
RUR-R-0068,KAR-SU-0075,6.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,133.2,-30.2,31.8,9.7,OK,LOS,30
RUR-R-0069,RUR-R-0078,8.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.7,-25.8,34.2,12.2,OK,LOS,38
RUR-R-0070,RUR-R-0078,9.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.3,-27.4,32.6,14.0,OK,LOS,47
RUR-R-0071,HWY-HW-0007,10.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.7,-27.7,32.3,14.5,OK,BLOCKED by 25 m: raise antennas or relay,-25
RUR-R-0072,KAR-SU-0070,6.6,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,133.9,-30.9,31.1,10.4,OK,BLOCKED by 163 m: raise antennas or relay,-163
RUR-R-0073,RUR-R-0078,4.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.7,-26.8,35.2,7.0,OK,LOS,21
RUR-R-0074,RUR-R-0078,5.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.9,-29.0,33.0,8.7,OK,LOS,41
RUR-R-0075,RUR-R-0086,7.9,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.5,-25.5,34.5,12.0,OK,LOS,9
RUR-R-0076,KAR-SU-0088,4.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.9,-26.9,35.1,7.1,OK,BLOCKED by 6 m: raise antennas or relay,-6
RUR-R-0079,RUR-R-0086,4.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.7,-26.8,35.2,7.0,OK,LOS,32
RUR-R-0080,HWY-HW-0073,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.7,-27.7,34.3,7.7,OK,LOS,31
RUR-R-0081,RUR-R-0082,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.6,-26.6,35.4,6.9,OK,BLOCKED by 213 m: raise antennas or relay,-213
RUR-R-0083,RUR-R-0089,4.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.2,-27.2,34.8,7.3,OK,LOS,39
RUR-R-0084,RUR-R-0077,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,LOS,27
RUR-R-0085,RUR-R-0086,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.6,-26.6,35.4,6.9,OK,LOS,32
RUR-R-0087,RUR-R-0082,8.0,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.6,-25.6,34.4,12.1,OK,BLOCKED by 41 m: raise antennas or relay,-41
RUR-R-0088,RUR-R-0082,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,BLOCKED by 41 m: raise antennas or relay,-41
RUR-R-0090,RUR-R-0089,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.5,-26.5,35.5,6.8,OK,LOS,33
RUR-R-0091,RUR-R-0086,7.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.9,-24.9,35.1,11.3,OK,LOS,6
RUR-R-0092,RUR-R-0086,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,LOS,43
RUR-R-0093,RUR-R-0086,5.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.7,-28.8,33.2,8.5,OK,LOS,27
RUR-R-0094,RUR-R-0089,7.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.1,-25.1,34.9,11.6,OK,BLOCKED by 30 m: raise antennas or relay,-30
RUR-R-0095,RUR-R-0096,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.5,-26.5,35.5,6.8,OK,LOS,41
RUR-R-0097,RUR-R-0096,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,LOS,38
RUR-R-0098,RUR-R-0086,8.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.4,-26.4,33.6,12.9,OK,BLOCKED by 34 m: raise antennas or relay,-34
RUR-R-0099,RUR-R-0086,7.8,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.4,-25.4,34.6,11.9,OK,LOS,17
RUR-R-0100,HWY-HW-0039,8.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.7,-25.7,34.3,12.2,OK,BLOCKED by 305 m: raise antennas or relay,-305
RUR-R-0101,RUR-R-0096,7.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.2,-25.2,34.8,11.7,OK,LOS,42
RUR-R-0102,RUR-R-0096,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,LOS,37
RUR-R-0103,RUR-R-0096,4.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.2,-28.2,33.8,8.0,OK,LOS,36
RUR-R-0104,RUR-R-0096,7.9,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.5,-25.5,34.5,12.0,OK,LOS,35
RUR-R-0105,RUR-R-0086,11.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.8,-28.9,31.1,15.8,OK,BLOCKED by 148 m: raise antennas or relay,-148
RUR-R-0106,HWY-HW-0003,11.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.7,-28.7,31.3,15.6,OK,LOS,25
RUR-R-0107,RUR-R-0109,9.0,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.7,-26.7,33.3,13.3,OK,BLOCKED by 97 m: raise antennas or relay,-97
RUR-R-0108,RUR-R-0109,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.6,-26.6,35.4,6.9,OK,BLOCKED by 70 m: raise antennas or relay,-70
RUR-R-0110,RUR-R-0109,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.6,-26.6,35.4,6.9,OK,LOS,37
RUR-R-0111,RUR-R-0116,7.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.7,-24.7,35.3,11.1,OK,BLOCKED by 12 m: raise antennas or relay,-12
RUR-R-0112,RUR-R-0116,12.0,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,139.1,-29.1,30.9,16.2,OK,LOS,47
RUR-R-0113,HWY-HW-0003,8.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.2,-26.3,33.7,12.8,OK,LOS,12
RUR-R-0114,RUR-R-0109,7.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.2,-25.3,34.7,11.7,OK,BLOCKED by 145 m: raise antennas or relay,-145
RUR-R-0115,RUR-R-0109,3.6,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,128.7,-25.7,36.3,6.3,OK,LOS,30
RUR-R-0117,RUR-R-0116,4.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.1,-27.1,34.9,7.2,OK,BLOCKED by 167 m: raise antennas or relay,-167
RUR-R-0118,RUR-R-0116,9.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.9,-26.9,33.1,13.5,OK,LOS,34
RUR-R-0119,HWY-HW-0002,9.9,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.4,-27.5,32.5,14.1,OK,LOS,27
RUR-R-0120,HWY-HW-0037,7.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.7,-24.7,35.3,11.2,OK,BLOCKED by 83 m: raise antennas or relay,-83
RUR-R-0121,RUR-R-0122,4.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.2,-28.2,33.8,8.1,OK,BLOCKED by 0 m: raise antennas or relay,0
RUR-R-0123,RUR-R-0116,4.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.2,-27.2,34.8,7.3,OK,BLOCKED by 182 m: raise antennas or relay,-182
RUR-R-0124,RUR-R-0129,8.4,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.0,-26.0,34.0,12.5,OK,LOS,2
RUR-R-0125,RUR-R-0116,11.8,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,139.0,-29.0,31.0,16.0,OK,LOS,48
RUR-R-0126,HWY-HW-0002,8.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.9,-25.9,34.1,12.4,OK,LOS,40
RUR-R-0127,RUR-R-0122,7.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.2,-25.2,34.8,11.7,OK,BLOCKED by 533 m: raise antennas or relay,-533
RUR-R-0128,RUR-R-0129,4.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.1,-28.1,33.9,8.0,OK,LOS,40
RUR-R-0130,RUR-R-0137,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.4,-27.5,34.5,7.5,OK,LOS,41
RUR-R-0131,RUR-R-0137,7.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.7,-24.7,35.3,11.1,OK,LOS,34
RUR-R-0132,RUR-R-0141,7.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.7,-24.7,35.3,11.1,OK,LOS,25
RUR-R-0133,RUR-R-0141,3.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.1,-26.1,35.9,6.5,OK,LOS,26
RUR-R-0134,HWY-HW-0036,7.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.6,-24.6,35.4,11.1,OK,BLOCKED by 159 m: raise antennas or relay,-159
RUR-R-0135,RUR-R-0144,7.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.2,-25.2,34.8,11.7,OK,BLOCKED by 158 m: raise antennas or relay,-158
RUR-R-0136,RUR-R-0144,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.4,-27.5,34.5,7.5,OK,LOS,24
RUR-R-0138,RUR-R-0137,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.6,-26.6,35.4,6.9,OK,LOS,40
RUR-R-0139,RUR-R-0137,8.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.8,-25.8,34.2,12.3,OK,LOS,2
RUR-R-0140,RUR-R-0141,5.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.6,-28.6,33.4,8.4,OK,LOS,33
RUR-R-0142,RUR-R-0144,9.0,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.6,-26.6,33.4,13.2,OK,LOS,34
RUR-R-0143,RUR-R-0144,4.6,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.8,-27.8,34.2,7.8,OK,LOS,24
RUR-R-0145,RUR-R-0137,4.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.9,-26.9,35.1,7.1,OK,LOS,34
RUR-R-0146,RUR-R-0153,7.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.8,-24.9,35.1,11.3,OK,LOS,28
RUR-R-0147,RUR-R-0141,7.8,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.4,-25.4,34.6,11.8,OK,LOS,25
RUR-R-0148,RUR-R-0157,5.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.7,-28.8,33.2,8.5,OK,LOS,19
RUR-R-0150,HWY-HW-0035,7.4,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.0,-25.0,35.0,11.5,OK,LOS,22
RUR-R-0151,RUR-R-0162,7.0,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.5,-24.5,35.5,11.0,OK,LOS,8
RUR-R-0152,RUR-R-0162,3.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.1,-26.1,35.9,6.5,OK,LOS,39
RUR-R-0154,RUR-R-0153,3.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,128.9,-25.9,36.1,6.4,OK,LOS,19
RUR-R-0155,RUR-R-0166,8.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.8,-25.8,34.2,12.3,OK,LOS,21
