site_id,class,zone,cluster,governorate,lat,lon,ground_elev_m,site_type,local_bldg_height_mean_m,local_bldg_height_max_m,built_fraction,antenna_height_agl_m,sectors,configuration,backhaul,hub,ring,is_hub
MA-SU-0121,SU,Ma'an outskirts,Ma'an,Ma'an,30.20728,35.71192,1136,Monopole / greenfield,2.5,2.5,0.28,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-03,HUB-MA-03-R04,0
MA-SU-0122,SU,Ma'an outskirts,Ma'an,Ma'an,30.20611,35.75970,1084,Monopole / greenfield,2.5,2.5,0.24,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-02,HUB-MA-02-R03,0
MA-SU-0123,SU,Ma'an outskirts,Ma'an,Ma'an,30.21237,35.70850,1148,Monopole / greenfield,2.5,2.5,0.88,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R01,0
MA-SU-0124,SU,Ma'an outskirts,Ma'an,Ma'an,30.21237,35.71533,1142,Monopole / greenfield,2.8,3.8,0.84,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R01,0
MA-SU-0125,SU,Ma'an outskirts,Ma'an,Ma'an,30.21237,35.75629,1090,Monopole / greenfield,2.5,2.5,0.08,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-02,HUB-MA-02-R04,0
MA-SU-0126,SU,Ma'an outskirts,Ma'an,Ma'an,30.21746,35.71192,1144,Monopole / greenfield,2.6,2.9,0.96,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R05,0
MA-SU-0127,SU,Ma'an outskirts,Ma'an,Ma'an,30.21746,35.71874,1138,Monopole / greenfield,3.6,3.9,1.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R05,0
MA-SU-0128,SU,Ma'an outskirts,Ma'an,Ma'an,30.21746,35.72557,1128,Monopole / greenfield,2.6,3.0,0.68,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R05,0
MA-SU-0129,SU,Ma'an outskirts,Ma'an,Ma'an,30.21746,35.73239,1124,Monopole / greenfield,3.0,4.0,0.84,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R04,0
MA-SU-0130,SU,Ma'an outskirts,Ma'an,Ma'an,30.21746,35.73922,1120,Monopole / greenfield,3.8,4.4,1.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R04,0
MA-SU-0131,SU,Ma'an outskirts,Ma'an,Ma'an,30.21864,35.74605,1113,Monopole / greenfield,2.5,2.6,0.68,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R04,0
MA-SU-0132,SU,Ma'an outskirts,Ma'an,Ma'an,30.22256,35.71533,1137,Monopole / greenfield,2.5,2.7,0.96,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R05,0
MA-SU-0133,SU,Ma'an outskirts,Ma'an,Ma'an,30.22256,35.72215,1133,Monopole / greenfield,2.6,3.0,1.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R05,0
MA-SU-0134,SU,Ma'an outskirts,Ma'an,Ma'an,30.22256,35.72898,1126,Monopole / greenfield,2.5,2.5,0.96,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R05,0
MA-SU-0135,SU,Ma'an outskirts,Ma'an,Ma'an,30.22256,35.73581,1120,Monopole / greenfield,2.6,3.1,0.72,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R04,0
MA-SU-0136,SU,Ma'an outskirts,Ma'an,Ma'an,30.22256,35.74263,1114,Monopole / greenfield,2.6,3.1,0.8,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R04,0
MA-SU-0137,SU,Ma'an outskirts,Ma'an,Ma'an,30.22256,35.74810,1107,Monopole / greenfield,2.5,2.5,0.28,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-MA-01,HUB-MA-01-R04,0
WAD-SU-0039,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.30401,35.46412,1345,Monopole / greenfield,2.5,2.5,0.36,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-02,HUB-WAD-02-R01,0
WAD-SU-0040,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.30283,35.46958,1429,Monopole / greenfield,2.5,2.5,0.12,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-02,HUB-WAD-02-R01,0
